name,formername,status,address,city,state,zip,county,accreditedby,statelicenseno,initiallicensedate,licenseeffective,licenseexpire,licenseename,administratorname,source,link,documents,note,date_collected
ONE FAMILY,NA,Active,"1108 NORTHERN LIGHTS BOULEVARD, STE C",ANCHORAGE,AK,99508,NA,NA,FBC-005,2008-01-01T00:00:00Z,NA,2020-06-01T00:00:00Z,NA,NA,STATE OF ALASKA DIVISION OF HEALTH CARE SERVICES HEALTH FACILITIES LICENSING CERTIFICATION,http://dhss.alaska.gov/dhcs/Documents/hflc/PDF/Health-Facilities-Licensing-and-Certification-Facilites-List.pdf,NA,NA,Jun-18
OPEN DOOR BIRTH CENTER,NA,Active,215 RAMSLAND STREET,WESTBY,WI,54667,NA,NA,NA,NA,NA,NA,NA,NA,Open Door Midwifery,http://www.opendoormidwifery.com/,NA,NA,Oct-18
ORIGINS BIRTH AND WELLNESS COLLECTIVE,NA,Active,10345 ALTA VISTA ROAD,KELLER,TX,76244,TARRANT,NA,150037,2014-10-07T00:00:00Z,NA,2018-10-31T00:00:00Z,NA,Kaitlyn Wages,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
OUR BIRTHING CENTER,NA,Active,25 LINDSLEY DRIVE,MORRISTOWN,NJ,7960,MORRIS,NA,24970,2018-01-08T00:00:00Z,NA,2018-12-31T00:00:00Z,Our Birthing Center LLC,Marc Stern,New Jersey Department of Health,http://www.state.nj.us/health/healthfacilities/findhospital.shtml,https://www.documentcloud.org/documents/5032774-OURBIRTHINGCENTER-NJ.html,NA,Jun-18
PACIFICA FAMILY MATERNITY CENTER,NA,Active,3101 TELEGRAPH AVENUE,BERKELEY,CA,94705,NA,Accredited by the Commission for the Accreditation of Birth Centers,NO DATA,NA,NA,NA,NA,NA,Pacifica Family Maternity Center,https://pacificamaternity.com/the-birth-center/,NO DATA,NA,Jun-18
PALMS BIRTH HOUSE,NA,Active,353 N SWINTON AVENUE,DELRAY BEACH,FL,NA,Palm Beach,NA,341,NA,2016-06-04T00:00:00Z,2018-06-03T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,NA,NA,Apr-18
"PALMS BIRTH HOUSE, LLC",NA,Active,353 N SWINTON AVENUE,DELRAY BEACH,FL,NA,Palm Beach,NA,363,NA,2018-01-12T00:00:00Z,2020-01-11T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,NA,NA,Apr-18
PATRICIA GRAY,NA,Unknown,33980 STREET RT 83,BECKS MILLS,OH,44654,HOLMES,NA,NA,NA,NA,NA,NA,NA,Ohio Department of Health,http://publicapps.odh.ohio.gov/eid/default.aspx,NA,NA,Oct-18
PCC SOUTH FAMILY HEALTH CENTER,NA,Active,6201 WEST ROOSEVELT ROAD,BERWYN,IL,60402,Cook,Accredited by the Commission for the Accreditation of Birth Centers,4000029,NA,NA,2018-10-08T00:00:00Z,NA,NA,Department of Public Health,https://data.illinois.gov/dataset/idph-birthing-centers,https://www.documentcloud.org/documents/5032764-PCCSOUTHBIRTHCENTER-IL.html,Part of a clinic/healthcare system,Jun-18
PEACEHEALTH MEDICAL GROUP NURSE MIDWIFERY BIRTH CENTER,NA,Active,353 DEADMOND FERRY ROAD,SPRINGFIELD,OR,97477,LANE,Accredited by the Commission for the Accreditation of Birth Centers,07-1606,NA,NA,2018-12-31T00:00:00Z,NA,David Duffey,Oregon Health Authority,http://www.oregon.gov/oha/PH/PROVIDERPARTNERRESOURCES/HEALTHCAREPROVIDERSFACILITIES/HEALTHCAREHEALTHCAREREGULATIONQUALITYIMPROVEMENT/Documents/BCList.pdf,https://www.documentcloud.org/documents/5032793-PeacehealthMedicalGroup-OR.html,Part of a healthcare system,Jul-18
PEND OREILLE MIDWIFERY,NA,Active,723 PINE STREET,SANDPOINT,ID,83864,NA,NA,NA,NA,NA,NA,NA,NA,Pend Oreille Midwifery,http://www.pendoreillemidwifery.com/birth-center/,NA,NA,Jun-18
PLANO BIRTHPLACE,NA,Active,5172 VILLAGE CREEK DRIVE SUITE 101,PLANO,TX,75093,COLLIN,NA,150058,2017-06-15T00:00:00Z,NA,2019-06-30T00:00:00Z,NA,Jeannine Tate,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
PREMIER BIRTH CENTER CHANTILLY,NORTHERN VIRGINIA NATURAL BIRTH CENTER AND WELLNESS COMMUNITY,Active,4200A TECHNOLOGY COURT,CHANTILY,VA,20151,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,Premier Birth Center,https://www.premierbirth.com/,NA,NA,Jun-18
PREMIER BIRTH CENTER WINCHESTER,NA,Active,125 PREMIER PLACE,WINCHESTER,VA,22602,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,Premier Birth Center,https://www.premierbirth.com/,NA,NA,Jun-18
PRISTINE BIRTH AND WELLNESS CENTER LLC,NA,Active,20138 SCHIEL ROAD,CYPRESS,TX,77433,HARRIS,NA,150059,2017-06-21T00:00:00Z,NA,2019-06-30T00:00:00Z,NA,Emely Molina,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,Affiliated with a clinic,Jun-18
PRISTINE BIRTH AND WELLNESS CENTER LLC,NA,Active,6617 FM 2920,SPRING,TX,77379,HARRIS,NA,150061,2017-06-23T00:00:00Z,NA,2019-06-30T00:00:00Z,NA,Emely Molina,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,Affiliated with a clinic,Jun-18
PUGET SOUND MIDWIVES AND BIRTH CENTER,NA,Active,13128 TOTEM LAKE BOULEVARD NE SUITE 101,KIRKLAND,WA,98034,NA,Accredited by the Commission for the Accreditation of Birth Centers,CBC.FS.00000016,NA,NA,2019-02-28T00:00:00Z,Puget Sound Midwives and Birth Center LLC,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,NA,NA,Oct-18
PUGET SOUND MIDWIVES AND BIRTH CENTER - RENTON,NA,Active,4300 TALBOT ROAD S SUITE 402,RENTON,WA,98055,NA,Accredited by the Commission for the Accreditation of Birth Centers,CBC.FS.60507329,NA,NA,2018-10-02T00:00:00Z,Puget Sound Midwives and Birth Center LLC,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,https://www.documentcloud.org/documents/5032808-Puget-Sound-Midwives-and-Birth-Center-WA.html,NA,Oct-18
RITE OF PASSAGE WOMEN'S HEALTH AND BIRTH CENTER,NA,Unknown,2302 COUNTY ROAD 124,PEARLAND,TX,77581,NA,NA,NO DATA,NA,NA,NA,NA,NA,Rite of Passage Women's Health and Birth Center,http://birth-center.com/,NO DATA,NA,Jun-18
RIVER VALLEY BIRTH CENTER,NA,Active,526 WEST PARK ROW ,ST PETER,MN,56082,NA,Accredited by the Commission for the Accreditation of Birth Centers,HFID-30963,6/11/14,NA,NA,NA,NA,Minnesota Department of Health,http://www.health.state.mn.us/divs/fpc/directory/2018mdhdirectory.pdf,NO DATA,NA,Jun-18
"ROGUE BIRTH CENTER, LLC",NA,Active,1453 REDWOOD CIRCLE,GRANTS PASS,OR,97527,JACKSON,NA,07-1641/ORST0682,NA,NA,2018-12-31T00:00:00Z,NA,Willa Woodard Ervin,Oregon Health Authority,http://www.oregon.gov/oha/PH/PROVIDERPARTNERRESOURCES/HEALTHCAREPROVIDERSFACILITIES/HEALTHCAREHEALTHCAREREGULATIONQUALITYIMPROVEMENT/Documents/BCList.pdf,NA,NA,Jul-18
ROLLING HILLS MIDWIFERY AND THE NEST BIRTH AND WELLNESS,NA,Active,425 S GRAND AVENUE,PULLMAN,WA,99163,NA,NA,CBC.FS.60833900,NA,NA,NA,Rolling Hills Midwifery PLLC,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,NA,NA,Oct-18
ROOTS COMMUNITY BIRTH CENTER,NA,Active,1901 N 44TH AVENUE,MINNEAPOLIS,MN,55412,NA,Accredited by the Commission for the Accreditation of Birth Centers,HFID-32087,11/10/15,NA,NA,NA,NA,Minnesota Department of Health,http://www.health.state.mn.us/divs/fpc/directory/2018mdhdirectory.pdf,NO DATA,NA,Jun-18
ROSEMARY BIRTHING HOME,NA,Active,800 CENTRAL AVENUE,SARASOTA,FL,NA,Sarasota,NA,318,NA,2017-02-25T00:00:00Z,2019-02-24T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032751-Rosemary-FL.html,NA,Apr-18
"SACRED ROOTS BIRTH CENTER, INC",NA,Active,"6620 PARKDALE PLACE, SUITE K",INDIANAPOLIS,IN,46254,MARION,NA,18-014058-1,NA,NA,2018-12-31T00:00:00Z,NA,Victoria Floyd,Indiana State Department of Health,https://www.in.gov/isdh/reports/QAMIS/birthcdir/wdirbc.htm,NA,NA,Aug-18
SALDANAS BIRTHING CENTER,NA,Active,2155 EAST TAYLOR STREET,BROWNSVILLE,TX,78520,CAMERON,NA,7289,2001-04-03T00:00:00Z,NA,2020-04-30T00:00:00Z,NA,Mary Saldana,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046611-SaldanasBirthingCenter-TX.html,NA,Jun-18
SALMONBERRY BIRTH CENTER,NA,Active,20696 BOND ROAD NE BUILDING C SUITE 110,POULSBO,WA,98370,NA,NA,CBC.FS.60609961,NA,NA,2018-12-22T00:00:00Z,Salmonberry Community Birth Center LLC,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,https://www.documentcloud.org/documents/5032809-Salmonberry-Birth-Center-WA.html,NA,Oct-18
SAN ANTONIO BIRTH CENTER,NA,Active,7272 WURZBACH ROAD SUITE 101,SAN ANTONIO,TX,78240,BEXAR,NA,150005,2010-02-02T00:00:00Z,NA,2020-02-29T00:00:00Z,NA,Alisa Voss Godfrey,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
SAN CARLOS MATERNITY CLINIC,NA,Active,200 WEST EXPRESSWAY 83 SUITE B,SAN JUAN,TX,78589,HIDALGO,NA,7312,2001-05-18T00:00:00Z,NA,2019-05-31T00:00:00Z,NA,Connie Carlos,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046612-SanCarlosMaternityCenter-TX.html,NA,Jun-18
SAN FRANCISCO AND MISSION MATERNITY CLINIC,NA,Active,704 EAST 9TH STREET,MISSION,TX,78572,HIDALGO,NA,7332,2001-06-22T00:00:00Z,NA,2019-01-31T00:00:00Z,NA,Francisco Rosales,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
SAN FRANCISCO BIRTH CENTER,NA,Active,2300 SUTTER STREET SUITE 301,SAN FRANCISCO,CA,94115,NA,Accredited by the Commission for the Accreditation of Birth Centers,NO DATA,NA,NA,NA,NA,NA,San Francisco Birth Center,https://sfbirthcenter.com/,NO DATA,NA,Jun-18
SANTA BARBARA BIRTH CENTER,NA,Active,2958 STATE STREET,SANTA BARBARA,CA,93105,NA,NA,NO DATA,NA,NA,NA,NA,NA,Santa Barbara Midwifery and Birth Center,http://www.sbbirthcenter.org/new-page/,NO DATA,NA,Jun-18
SANTA CLARITA VALLEY BIRTH CENTER,NA,Active,23548 LYONS AVENUE SUITE B,NEWHALL,CA,91321,NA,Accredited by the Commission for the Accreditation of Birth Centers,NO DATA,NA,NA,NA,NA,NA,SCV Birth Center,http://scvbirthcenter.com/your-birth-center,NO DATA,NA,Jun-18
SANTA LUCIA BIRTH CENTER,NA,Active,4251 S HIGUERA STREET SUITE 300,SAN LUIS OBISPO,CA,93401,NA,NA,NO DATA,NA,NA,NA,NA,NA,Santa Lucia Birth Center,https://www.santaluciabirthcenter.com/contact/,NO DATA,NA,Jun-18
SANTA MARIA BIRTH CENTER,NA,Active,659 TRUMAN DRIVE,BROWNSVILLE,TX,78521,CAMERON,NA,7206,1997-05-28T00:00:00Z,NA,2019-05-31T00:00:00Z,NA,Irma Farias,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046613-SantaMariaBirthCenter-TX.html,NA,Jun-18
SANTA ROSA BIRTH CENTER,NA,Active,583 SUMMERFIELD ROAD,SANTA ROSA,CA,NA,SONOMA,Accredited by the Commission for the Accreditation of Birth Centers,110000295,1995-07-19T00:00:00Z,2017-06-12T00:00:00Z,2018-06-11T00:00:00Z,"Santa Rosa Midwifery Center, A Professional Nursing Corp.",Elizabeth Smith,California Department of Public Health,https://www.cdph.ca.gov/Programs/CHCQ/LCP/CalHealthFind/Pages/SearchResult.aspx?k=birth%20center&loc=,https://www.documentcloud.org/documents/5046664-Santa-Rosa-Birth-Center-CA.html,NA,Jun-18
SEATTLE BIRTH CENTER LLC,NA,Active,2705 E MADISON STREET,SEATTLE,WA,98112,NA,NA,CBC.FS.60543325,NA,NA,2019-04-30T00:00:00Z,Seattle Birth Center LLC,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,NA,NA,Oct-18
SEATTLE HOME MATERNITY AND CHILDBIRTH CENTER,NA,Active,3830 S FERDINAND STREET,SEATTLE,WA,98118,NA,NA,CBC.FS.00000005,NA,NA,2018-12-31T00:00:00Z,Seattle Home Maternity Service and Childbirth,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,NA,NA,Oct-18
SEEDS OF GRACE MIDWIFERY LLC,NA,Active,505 N SECOND,LONGVIEW,TX,75601,GREGG,NA,150051,2016-09-21T00:00:00Z,NA,2018-09-30T00:00:00Z,NA,Kristin Green,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
SELAH MIDWIFERY CENTER,AGAPE BIRTH SERVICE & BIRTH CENTER,Active,297 N 3855 E,RIGBY,ID,83442,NA,NA,NA,NA,NA,NA,NA,NA,Selah Midwifery Center,https://selahmidwiferycenter.com/contact-us/,NA,NA,Jun-18
SERENITY BIRTH CENTER,BABY'S 1ST DAY MIDWIFERY SERVICES,Under development,332 S JONES BLVD,LAS VEGAS,NV,89107,NA,NA,NA,NA,NA,NA,NA,NA,Facebook,https://www.facebook.com/SerenityBirthLV/,NA,NA,Jun-18
"SIERRA NATURAL BIRTH CENTER, LLC",NA,Active,16575 DRAPER MINE ROAD,SONORA,CA,NA,TUOLUMNE,NA,550003423,2016-02-05T00:00:00Z,2018-02-05T00:00:00Z,2018-02-04T00:00:00Z,NA,Ellen Jasmer,California Department of Public Health,https://www.cdph.ca.gov/Programs/CHCQ/LCP/CalHealthFind/Pages/SearchResult.aspx?k=birth%20center&loc=,NA,NA,Jun-18
SIMPLY BORN BIRTH HOUSE & MIDWIFERY SERVICES,NA,Active,802 MERRIT STREET SE,GRAND RAPIDS,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simply Born,http://www.simplyborn.com/birth-house/,NA,NA,Jun-18
SOUTH COAST MIDWIFERY AND BIRTHING CENTER,NA,Active,6817 QUAIL HILL PARKWAY,IRVINE,CA,92603,NA,Accredited by the Commission for the Accreditation of Birth Centers,NO DATA,NA,NA,NA,NA,NA,South Coast Midwifery and Women's Health Care,https://southcoastmidwifery.com/contact-info/,NO DATA,NA,Jun-18
SPECIAL BEGINNINGS BIRTH AND WOMEN'S CENTER,NA,Active,1454 BALTIMORE-ANNAPOLIS BOULEVARD,ARNOLD,MD,21012,Anne Arundel,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,2018-07-01T00:00:00Z,NA,NA,Ann Sober,Maryland Department of Health,https://health.maryland.gov/ohcq/Pages/Licensee-Directory.aspx,https://www.documentcloud.org/documents/5046734-SPECIALBEGINNINGSBIRTHANDWOMENSCENTER.html,NA,Jul-18
SPECIAL BEGINNINGS PLLC,NA,Active,513 WEST CHURCH STREET,GRAND PRAIRIE,TX,75050,DALLAS,NA,8191,2005-04-01T00:00:00Z,NA,2019-03-31T00:00:00Z,NA,Betty Shory-Winford,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046614-SpecialBeginnings-TX.html,NA,Jun-18
SPECIAL DELIVERY MIDWIFERY CARE,NA,Active,4926 E 73RD STREET,TULSA,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,Special Delivery Midwifery Care,http://www.birthcentertulsa.com/about-us/,NA,NA,Jun-18
SPOKANE MIDWIVES,NA,Active,127 E EUCLID AVENUE,SPOKANE,WA,99207,NA,NA,CBC.FS.00000025,NA,NA,2018-08-31T00:00:00Z,Spokane Midwives PLLC,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,NA,NA,Oct-18
SPROUT BIRTH CENTER AND NATURAL HEALTH,NA,Active,22725 44TH AVENUE W SUITE 101,MOUNTLAKE TERRACE,WA,98043,NA,Accredited by the Commission for the Accreditation of Birth Centers,CBC.FS.60710661,NA,NA,2019-02-24T00:00:00Z,Sprout Birth Center & Natural Health LLC,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,NA,NA,Oct-18
SUNRISE BIRTHING CENTER,NA,Active,12 N ASH STREET,VENTURA,CA,93001,NA,NA,NO DATA,NA,NA,NA,NA,NA,Facebook,https://www.facebook.com/SunriseBirthingCenter/,NO DATA,NA,Jun-18
SWEET CHILD O' MINE,NA,Active,215 LITHIA PINECREST ROAD,BRANDON,FL,NA,Hillsborough,NA,350,NA,2016-11-07T00:00:00Z,2018-11-06T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032752-SweetChildOmine-FL.html,NA,Apr-18
TEXOMA BIRTH CENTER,NA,Active,311 EAST A STREET,ATOKA,OK,74525,NA,NA,NA,NA,NA,NA,NA,NA,Texoma Birth Center,http://www.texomabirthcenter.com/,NA,NA,Jun-18
THE ADDICE BIRTH CENTER,NA,Active,8845 SIX PINES DR SUITE 150,SHENANDOAH,TX,77380,MONTGOMERY,NA,150066,2018-02-14T00:00:00Z,NA,2020-02-29T00:00:00Z,NA,Candice Jenkins,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
THE BABY PLACE BIRTHING CENTER,NA,Active,2406 CHURCH STREET,GREENVILLE,TX,75401,HUNT,NA,150030,2013-04-01T00:00:00Z,NA,2019-04-30T00:00:00Z,NA,Audrey Stucker,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
THE BIRTH CENTER,NA,Active,2404 39TH STREET,MISSOULA,MT,59803,MISSOULA,Accredited by the Commission for the Accreditation of Birth Centers,12770,2011-09-30T00:00:00Z,NA,2020-09-29T00:00:00Z,NA,Angela Marassi,Montana Department of Health and Human Services,https://qadlicensing.hhs.mt.gov/datamart/selSearchType.do,NA,NA,Jul-18
THE BIRTH CENTER,NA,Provisional,342 S ALASKA STREET,PALMER,AK,99654,NA,NA,FBC-018,2018-01-01T00:00:00Z,NA,2019-01-01T00:00:00Z,NA,NA,STATE OF ALASKA DIVISION OF HEALTH CARE SERVICES HEALTH FACILITIES LICENSING CERTIFICATION,http://dhss.alaska.gov/dhcs/Documents/hflc/PDF/Health-Facilities-Licensing-and-Certification-Facilites-List.pdf,NA,NA,Jun-18
THE BIRTH CENTER,NA,Active,5089 S 900 STREET 201,SALT LAKE CITY,UT,84117,SALT LAKE,NA,2018-BC-UT000803,NA,NA,2020-02-29T00:00:00Z,NA,Rebecca Mcinnis,Utah Health Facility Licensing,http://health.utah.gov/hflcra/facinfo.php,NA,NA,Jul-18
"THE BIRTH CENTER OF BOULDER, LLC",NA,Active,2800 FOLSOM STREET,BOULDER,CO,NA,BOULDER,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,2018-07-29T00:00:00Z,NA,ELIZABETH IRVIN,COLORADO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,https://www.colorado.gov/pacific/cdphe/categories/services-and-information/health/health-facilities,NA,NA,May-18
THE BIRTH CENTER OF NEW JERSEY,NA,Active,1945 US 22 WEST,UNION,NJ,7083,NA,NA,NO DATA,NA,NA,NA,NA,NA,The Birth Center of New Jersey,http://birthcenternj.com/,NO DATA,NA,Jun-18
THE BIRTH CENTER OF ST PETE,NA,Active,1405 DR MLK JR STREET N,SAINT PETERSBURG,FL,NA,Pinellas,NA,357,NA,2018-01-14T00:00:00Z,2020-01-13T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,NA,NA,Apr-18
"THE BIRTH CENTER, A NURSING CORPORATION",NA,Active,5440 LAUREL HILLS DRIVE,SACRAMENTO,CA,NA,SACRAMENTO,Accredited by the Commission for the Accreditation of Birth Centers,30000708,2000-07-17T00:00:00Z,2017-11-17T00:00:00Z,2018-11-16T00:00:00Z,Ruth Cummings,Ruth Cummings,California Department of Public Health,https://www.cdph.ca.gov/Programs/CHCQ/LCP/CalHealthFind/Pages/SearchResult.aspx?k=birth%20center&loc=,NA,NA,Jun-18
THE BIRTH CENTER: HOLISTIC WOMEN'S HEALTH CARE,NA,Active,1508 W 7TH STREET,WILMINGTON,DE,19805,NA,Accredited by the Commission for the Accreditation of Birth Centers,FSBC-001,NA,NA,2018-11-19T00:00:00Z,NA,NA,Delaware Department of Health and Social Services,NA,NA,NA,Jun-18
THE BIRTH COTTAGE OF MILFORD,NA,Active,4 PROSPECT STREET,MILFORD,NH,3055,HILLSBOROUGH,NA,4055,2014-11-25T00:00:00Z,2018-07-05T00:00:00Z,2019-06-30T00:00:00Z,NA,Adrian Feldhusen,New Hampshire Online Licensing,https://nhlicenses.nh.gov/verification/SearchResults.aspx,https://www.documentcloud.org/documents/5032773-THEBIRTHCOTTAGE-NH.html,NA,Aug-18
"THE BIRTH COTTAGE, INC.",NA,Active,260 E 6TH AVENUE,TALLAHASSEE,FL,NA,Leon,NA,336,NA,2017-10-25T00:00:00Z,2019-10-24T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032753-Tally-FL.html,NA,Apr-18
THE BIRTH HAVEN AT LIFE SPRING MIDWIFERY,NA,Active,"3303 SOUTH LINDSAY ROAD, SUITE 125",GILBERT,AZ,NA,MARICOPA,NA,UNC5891,NA,2017-10-01T00:00:00Z,2018-09-30T00:00:00Z,NA,NA,AZ Department of Health Services,http://www.azdhs.gov/licensing/index.php#databases,https://www.documentcloud.org/documents/5032716-BirthHaven.html,NA,Oct-18
THE BIRTH HOUSE,NA,Active,2117 STATE AVENUE NE,OLYMPIA,WA,98506,NA,Accredited by the Commission for the Accreditation of Birth Centers,CBC.FS.60129112,NA,NA,2019-02-18T00:00:00Z,The Birth House LLC,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,NA,NA,Oct-18
THE BIRTH NEST AT CATLIN COURT,NA,Active,5622 WEST PALMAIRE AVENUE,GLENDALE,AZ,NA,MARICOPA,NA,UNC7251,NA,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,NA,NA,AZ Department of Health Services,http://www.azdhs.gov/licensing/index.php#databases,NA,NA,Oct-18
THE BIRTH PLACE,NA,Active,213 S DILLARD STREET SUITE 340,WINTER GARDEN,FL,NA,Orange,NA,314,NA,2017-06-07T00:00:00Z,2019-06-06T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032729-Birth-Place-FL.html,NA,Apr-18
THE BIRTH SWEET,NA,Active,375 E TABERNACLE STREET,SAINT GEORGE,UT,84770,NA,NA,NO DATA,NA,NA,NA,NA,NA,The Birth Sweet,http://www.thebirthsweet.com/contact/,NO DATA,NA,Jul-18
THE BIRTHING INN,NA,Active,6002 WESTGATE BOULEVARD SUITE 120,TACOMA,WA,98406,NA,Accredited by the Commission for the Accreditation of Birth Centers,CBC.FS.60393769,NA,NA,2018-10-31T00:00:00Z,The Birthing Inn PLLC,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,https://www.documentcloud.org/documents/5032810-The-Birthing-Inn-WA.html,NA,Oct-18
THE BIRTHING PLACE,NA,Active,2218 BARBEE STREET,HOUSTON,TX,77004,HARRIS,NA,150016,2011-05-06T00:00:00Z,NA,2019-05-31T00:00:00Z,NA,Afua Hassan,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
THE BIRTHING SPOT AND WELLNESS CENTER,NA,Active,116 NORTH NORWICH AVENUE,LUBBOCK,TX,79416,LUBBOCK,NA,150053,2016-12-09T00:00:00Z,NA,2018-12-31T00:00:00Z,NA,Christine Stuart,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
THE CENTER FOR BIRTH - ANCHORAGE,NA,Active,605 W 2ND AVENUE,ANCHORAGE,AK,99501,NA,NA,FBC-016,2016-07-01T00:00:00Z,NA,2020-06-01T00:00:00Z,NA,NA,STATE OF ALASKA DIVISION OF HEALTH CARE SERVICES HEALTH FACILITIES LICENSING CERTIFICATION,http://dhss.alaska.gov/dhcs/Documents/hflc/PDF/Health-Facilities-Licensing-and-Certification-Facilites-List.pdf,NA,NA,Jun-18
THE CENTER FOR BIRTH - PALMER,NA,Active,780 SNODGRADD DRIVE,PALMER,AK,99654,NA,Accredited by the Commission for the Accreditation of Birth Centers,FBC-013,2016-07-01T00:00:00Z,NA,2020-06-01T00:00:00Z,NA,NA,STATE OF ALASKA DIVISION OF HEALTH CARE SERVICES HEALTH FACILITIES LICENSING CERTIFICATION,http://dhss.alaska.gov/dhcs/Documents/hflc/PDF/Health-Facilities-Licensing-and-Certification-Facilites-List.pdf,NA,NA,Jun-18
THE FAMILY BIRTH CENTER OF NAPLES,NA,Active,2930 IMMOKALEE ROAD SUITE 2,NAPLES,FL,NA,Collier,NA,303,NA,2017-04-14T00:00:00Z,2019-04-13T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032737-Family-Birth-Center-Naples-FL.html,NA,Apr-18
THE GREENBANK WOMEN'S CLINIC AND BIRTH CENTER,NA,Active,3455 OLD COUNTY ROAD,GREENBANK,WA,98253,NA,NA,CBC.FS.00000013,NA,NA,2018-11-30T00:00:00Z,Greenbank Womens Clinic and Birth Center LTD,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,NA,NA,Oct-18
"THE HOLLYWOOD BIRTH CENTER, INC",NA,Active,2316 HOLLYWOOD BOULEVARD,HOLLYWOOD,FL,NA,Broward,NA,359,NA,2018-03-10T00:00:00Z,2020-03-09T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032741-Hollywood-FL.html,NA,Apr-18
